,X,Y,Z,val,Unnamed: 8,coord,gx,gy,gz,feature_name
0,0,10,5.102040816,0,1,2,,,,s1
1,0.204081633,10,5.102040816,0,1,2,,,,s1
2,0.408163265,10,5.102040816,0,1,2,,,,s1
3,0.612244898,10,5.102040816,0,1,2,,,,s1
4,0.816326531,10,5.102040816,0,1,2,,,,s1
5,1.020408163,10,5.102040816,0,1,2,,,,s1
6,1.224489796,10,5.102040816,0,1,2,,,,s1
7,1.428571429,10,5.102040816,0,1,2,,,,s1
8,1.632653061,10,5.102040816,0,1,2,,,,s1
9,1.836734694,10,5.102040816,0,1,2,,,,s1
10,2.040816327,10,5.102040816,0,1,2,,,,s1
11,2.244897959,10,5.102040816,0,1,2,,,,s1
12,2.448979592,10,5.102040816,0,1,2,,,,s1
13,2.653061224,10,5.102040816,0,1,2,,,,s1
14,2.857142857,10,5.306122449,0,1,2,,,,s1
15,3.06122449,10,5.306122449,0,1,2,,,,s1
16,3.265306122,10,5.510204082,0,1,2,,,,s1
17,3.469387755,10,5.510204082,0,1,2,,,,s1
18,3.673469388,10,5.714285714,0,1,2,,,,s1
19,3.87755102,10,5.714285714,0,1,2,,,,s1
20,4.081632653,10,5.918367347,0,1,2,,,,s1
21,4.285714286,10,6.12244898,0,1,2,,,,s1
22,4.489795918,10,6.326530612,0,1,2,,,,s1
23,4.693877551,10,6.326530612,0,1,2,,,,s1
24,4.897959184,10,6.530612245,0,1,2,,,,s1
25,5.102040816,10,6.734693878,0,1,2,,,,s1
26,5.306122449,10,6.93877551,0,1,2,,,,s1
27,5.510204082,10,7.142857143,0,1,2,,,,s1
28,5.714285714,10,7.142857143,0,1,2,,,,s1
29,5.918367347,10,7.346938776,0,1,2,,,,s1
30,6.12244898,10,7.551020408,0,1,2,,,,s1
31,6.326530612,10,7.551020408,0,1,2,,,,s1
32,6.530612245,10,7.755102041,0,1,2,,,,s1
33,6.734693878,10,7.755102041,0,1,2,,,,s1
34,6.93877551,10,7.959183673,0,1,2,,,,s1
35,7.142857143,10,7.959183673,0,1,2,,,,s1
36,7.346938776,10,7.959183673,0,1,2,,,,s1
37,7.551020408,10,8.163265306,0,1,2,,,,s1
38,7.755102041,10,8.163265306,0,1,2,,,,s1
39,7.959183673,10,8.163265306,0,1,2,,,,s1
40,8.163265306,10,8.163265306,0,1,2,,,,s1
41,8.367346939,10,8.163265306,0,1,2,,,,s1
42,8.571428571,10,8.163265306,0,1,2,,,,s1
43,8.775510204,10,8.163265306,0,1,2,,,,s1
44,8.979591837,10,8.163265306,0,1,2,,,,s1
45,9.183673469,10,8.163265306,0,1,2,,,,s1
46,9.387755102,10,8.163265306,0,1,2,,,,s1
47,9.591836735,10,8.163265306,0,1,2,,,,s1
48,9.795918367,10,8.163265306,0,1,2,,,,s1
49,10,10,8.163265306,0,1,2,,,,s1
50,0,9.795918367,5.102040816,0,1,2,,,,s1
51,0.204081633,9.795918367,5.102040816,0,1,2,,,,s1
52,0.408163265,9.795918367,5.102040816,0,1,2,,,,s1
53,0.612244898,9.795918367,5.102040816,0,1,2,,,,s1
54,0.816326531,9.795918367,5.102040816,0,1,2,,,,s1
55,1.020408163,9.795918367,5.102040816,0,1,2,,,,s1
56,1.224489796,9.795918367,5.102040816,0,1,2,,,,s1
57,1.428571429,9.795918367,5.102040816,0,1,2,,,,s1
58,1.632653061,9.795918367,5.102040816,0,1,2,,,,s1
59,1.836734694,9.795918367,5.102040816,0,1,2,,,,s1
60,2.040816327,9.795918367,5.102040816,0,1,2,,,,s1
61,2.244897959,9.795918367,5.102040816,0,1,2,,,,s1
62,2.448979592,9.795918367,5.102040816,0,1,2,,,,s1
63,2.653061224,9.795918367,5.102040816,0,1,2,,,,s1
64,2.857142857,9.795918367,5.306122449,0,1,2,,,,s1
65,3.06122449,9.795918367,5.306122449,0,1,2,,,,s1
66,3.265306122,9.795918367,5.510204082,0,1,2,,,,s1
67,3.469387755,9.795918367,5.510204082,0,1,2,,,,s1
